year	year_id	division	team_id	team_name	team_url
2017	12582	1	934	Alderson Broaddus	http://stats.ncaa.org/team/934/12582
2017	12582	1	77	BYU	http://stats.ncaa.org/team/77/12582
2017	12582	1	47	Ball St.	http://stats.ncaa.org/team/47/12582
2017	12582	1	15646	Barton	http://stats.ncaa.org/team/15646/12582
2017	12582	1	2683	Belmont Abbey	http://stats.ncaa.org/team/2683/12582
2017	12582	1	101	CSUN	http://stats.ncaa.org/team/101/12582
2017	12582	1	30135	California Baptist	http://stats.ncaa.org/team/30135/12582
2017	12582	1	1013	Charleston (WV)	http://stats.ncaa.org/team/1013/12582
2017	12582	1	1023	Coker	http://stats.ncaa.org/team/1023/12582
2017	12582	1	30199	Concordia (CA)	http://stats.ncaa.org/team/30199/12582
2017	12582	1	30193	Emmanuel (GA)	http://stats.ncaa.org/team/30193/12582
2017	12582	1	1072	Erskine	http://stats.ncaa.org/team/1072/12582
2017	12582	1	308	Fort Wayne	http://stats.ncaa.org/team/308/12582
2017	12582	1	248	George Mason	http://stats.ncaa.org/team/248/12582
2017	12582	1	1104	Grand Canyon	http://stats.ncaa.org/team/1104/12582
2017	12582	1	275	Harvard	http://stats.ncaa.org/team/275/12582
2017	12582	1	277	Hawaii	http://stats.ncaa.org/team/277/12582
2017	12582	1	30175	Holy Names	http://stats.ncaa.org/team/30175/12582
2017	12582	1	30051	King (TN)	http://stats.ncaa.org/team/30051/12582
2017	12582	1	13302	Lees-McRae	http://stats.ncaa.org/team/13302/12582
2017	12582	1	354	Lewis	http://stats.ncaa.org/team/354/12582
2017	12582	1	1174	Limestone	http://stats.ncaa.org/team/1174/12582
2017	12582	1	1176	Lincoln Memorial	http://stats.ncaa.org/team/1176/12582
2017	12582	1	30136	Lindenwood (MO)	http://stats.ncaa.org/team/30136/12582
2017	12582	1	99	Long Beach St.	http://stats.ncaa.org/team/99/12582
2017	12582	1	371	Loyola Chicago	http://stats.ncaa.org/team/371/12582
2017	12582	1	30138	McKendree	http://stats.ncaa.org/team/30138/12582
2017	12582	1	1245	Mount Olive	http://stats.ncaa.org/team/1245/12582
2017	12582	1	471	NJIT	http://stats.ncaa.org/team/471/12582
2017	12582	1	9223	North Greenville	http://stats.ncaa.org/team/9223/12582
2017	12582	1	518	Ohio St.	http://stats.ncaa.org/team/518/12582
2017	12582	1	2682	P.R.-Bayamon	http://stats.ncaa.org/team/2682/12582
2017	12582	1	24361	P.R.-Mayaguez	http://stats.ncaa.org/team/24361/12582
2017	12582	1	2716	P.R.-Rio Piedras	http://stats.ncaa.org/team/2716/12582
2017	12582	1	539	Penn St.	http://stats.ncaa.org/team/539/12582
2017	12582	1	541	Pepperdine	http://stats.ncaa.org/team/541/12582
2017	12582	1	542	Pfeiffer	http://stats.ncaa.org/team/542/12582
2017	12582	1	554	Princeton	http://stats.ncaa.org/team/554/12582
2017	12582	1	561	Quincy	http://stats.ncaa.org/team/561/12582
2017	12582	1	590	Sacred Heart	http://stats.ncaa.org/team/590/12582
2017	12582	1	600	Saint Francis (PA)	http://stats.ncaa.org/team/600/12582
2017	12582	1	657	Southern California	http://stats.ncaa.org/team/657/12582
2017	12582	1	674	Stanford	http://stats.ncaa.org/team/674/12582
2017	12582	1	109	UC Irvine	http://stats.ncaa.org/team/109/12582
2017	12582	1	112	UC San Diego	http://stats.ncaa.org/team/112/12582
2017	12582	1	104	UC Santa Barbara	http://stats.ncaa.org/team/104/12582
2017	12582	1	110	UCLA	http://stats.ncaa.org/team/110/12582
